,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ASXL3,67.7796057018804,-1.86798777165269,0.5050195415417,-3.69884255557752,0.000216584894407159,0.000817505778957679
ATAD5,506.079294078619,1.6745613179869,0.195721518467434,8.55583653294379,1.17017021754725e-17,5.94403626753179e-16
ATF3,5335.82870489458,-3.16158929370259,0.363609432040416,-8.69501452688161,3.46785415635777e-18,1.93902837689748e-16
ATOH7,9.85225299842964,1.56222264118272,0.444864939577542,3.51167849430045,0.000445286329041875,0.00154444780188618
ATP12A,85.9073043078342,3.79070891429566,0.710410952813494,5.33593816266912,9.50517943281447e-08,7.84371647024593e-07
ATP1A2,528.447768194801,-4.73239597902292,0.629768379650665,-7.51450236616833,5.71278159388451e-14,1.49190971554175e-12
ATP1A3,124.492622487903,1.74060816316667,0.440877222383517,3.94805645380455,7.87882276700749e-05,0.000332941381652451
ATP1B2,89.1160659467874,-2.51742655645755,0.313581156947014,-8.0279905239425,9.90821315475144e-16,3.36818553765961e-14
ATP2B4,6680.27808328762,-2.06752162790322,0.247755366278589,-8.34501249744231,7.12063543423428e-17,3.09322632816307e-15
ATP4A,13.1908678387312,3.60852202807812,0.751250470242327,4.80335410227981,1.56029591538749e-06,9.93558483355463e-06
ATP6V0A4,125.619011155872,2.62399939766018,0.575756856580503,4.55747833077398,5.17714297123529e-06,2.94069139394782e-05
ATP6V0D2,23.8249179771875,2.40802242173934,0.448886687945939,5.36443268736306,8.12040346864182e-08,6.79444840546216e-07
ATP6V1B1,183.40029879177,2.66321129787057,0.466867756014144,5.70442328381719,1.16737655225556e-08,1.1501741991553e-07
ATP6V1B1-AS1,2.82125562612393,3.03954915059731,0.715463087285261,4.2483661346255,2.15335257804395e-05,0.00010514764744263
ATP8B2,1000.57647345292,-1.54420622479374,0.306679102207692,-5.03525089801507,4.7722335187452e-07,3.37944408636449e-06
AUNIP,335.536960349868,2.02464805856148,0.228721196765787,8.8520350854702,8.59376744306333e-19,5.481737060377e-17
AURKA,1573.4341905214,2.3423901843363,0.216008353087112,10.8439796464337,2.1299925197996e-27,7.16387484159265e-25
AURKB,1631.4489776061,2.16646855872105,0.244252382979735,8.86979497309876,7.32806978969094e-19,4.7287352671965e-17
AVPR2,38.2495636437421,-1.71779060473921,0.363057320656123,-4.73145838688722,2.22912518029843e-06,1.36880002080953e-05
B3GALT1-AS1,3.13804949099203,2.81521058921507,1.04164969463646,2.70264620026369,0.00687899246332301,0.0167525918486938
B3GALT2,25.5585559093886,-2.40508989206374,0.505633178547524,-4.75659033881553,1.96890150763926e-06,1.22287844618288e-05
B3GAT2,34.283823735731,-1.81852696805097,0.276491382146657,-6.57715605431198,4.79531425794542e-11,7.60874809848981e-10
B3GNT4,118.555755935976,2.24775804488794,0.319567201975634,7.03375700319622,2.01045136195339e-12,4.02054048041814e-11
B4GALNT2,18.9758475097296,3.87034661356267,0.807613113163154,4.79232760152172,1.6485741749923e-06,1.04437926759358e-05
B4GALNT4,870.946658511634,2.7348459514617,0.483342362076507,5.65819627253944,1.52972138232709e-08,1.47317810173088e-07
BAAT,14.5159596373589,3.40909012474496,0.738468931565683,4.61642999322544,3.9039763376763e-06,2.28173951405315e-05
BAG2,848.997050857706,-2.71117566251653,0.294008046802583,-9.22143353558278,2.93154355075915e-20,2.45563787697176e-18
BAGE2,37.8120277055556,8.45806866787419,1.35056390788883,6.26262009407288,3.78562120321166e-10,5.02891798138195e-09
BAIAP2L2,333.766508779241,1.67813136470867,0.420518400559852,3.99062529124649,6.5899325027503e-05,0.000284045284846701
BARX1,196.37427795638,5.33568736474785,0.643286301338576,8.29442093457475,1.09115424632363e-16,4.5873943105856e-15
BARX1-DT,5.46377267477695,4.61568588291647,0.862568081140103,5.35109747721672,8.7422412417781e-08,7.26545380325684e-07
BCAR4,7.17324281001808,3.06081869740877,0.850870310471724,3.597279937658,0.000321562350593429,0.00115877289910275
BCHE,172.411414151009,-3.3357826343588,0.538665198967241,-6.19268265474425,5.91487427992618e-10,7.59828583714128e-09
BCL2,479.051402403908,-1.60561753146578,0.26322783965041,-6.09972536946768,1.06250856452303e-09,1.30091368534376e-08
BCL2L2,2174.88345981382,-1.51092190549347,0.15445077824257,-9.78254640530538,1.33801094560149e-22,1.80007072548253e-20
BCO2,88.6993474348986,-1.82941206749773,0.322934293041735,-5.66496685832404,1.47052955961834e-08,1.42048804022662e-07
BDKRB1,148.709858296377,-2.66052070780238,0.377216703633233,-7.05302994850728,1.75063152717791e-12,3.55214978430486e-11
BDKRB2,938.035788361657,-2.13287587082433,0.306165251717753,-6.96642045058263,3.25106584818926e-12,6.29181863104667e-11
BDNF,95.4053678214638,-2.06302456060882,0.407078937887316,-5.06787349725248,4.02284604047464e-07,2.89274818291079e-06
BEAN1,145.078013316487,1.92789403163235,0.418185980836062,4.6101354899033,4.02406623728518e-06,2.34144750551131e-05
BECN2,2.1900817222079,3.46799448738591,0.70281491937847,4.93443492982877,8.03831379910794e-07,5.45171065421931e-06
BEST2,6.37596426964399,3.28518004703413,0.7094960629096,4.63030060175642,3.6513525676395e-06,2.14255152779438e-05
BEST3,8.82508466367877,3.38665082588749,0.785149162902276,4.3133852596478,1.60773596528373e-05,8.12210354059358e-05
BHMT2,94.6551543922272,-4.07401438295415,0.423760004633983,-9.61396625071548,6.98070019754e-22,7.94743686263707e-20
